word,is_toxic
die!You,1
kids!lol,1
work?yeah,1
fu@ker,1
fu#cking,1
watch?v,1
Good_article_nominations#Transport,0
tags#Fair,0
htm#perfection,0
Archive_5#Need_help,0
Archive_3#I_could_use_some_helpWikipedia_talk,0
Archive_2#Raulbot,0
vandalising?xD,0
Jewish_lobby#WP,0
box?1equalvoice1,0
books?id,0
0CDYQ6AEwAQ#v,0
Novels#5,0
CANVAS#Campaigning,0
html#bio,0
tags#Fair_use,0
Macedonia#Discretionary,0
scholar?hl,0
full#ss2,0
evil#The,0
COMPLIMENT!Yamla,1
books?id,0
PA70#v,0
tags#Fair,0
deletion#Template,0
Image_use_policy#User,0
watch?v,0
asp?name,0
Gwen_Gale#User,0
watch?v,0
Internet_Explorer#Market,0
3000#Episodes,0
27_noticeboard#This_anon_,0
newbyguesses#February,0
copyright#Canada,0
Halaqah#Hi_Halaqah,0
apriljohnson6868@gmail,0
me?I,0
php?title,0
CSD#T1,0
CSD#T1,0
watch?v,0
2010_April_27#Wikipedia_books,0
this?24,0
Graceland#Basement,0
php?title,0
candidates#Wikipedia,0
php?id_revue,0
Incidents#Catholic,0
animeking237@aol,0
JewishVoiceforPeace?fref,0
Satellite?cid,0
php3?id,0
M!ssundaztood,0
Article_alerts#AAlertBot,0
watch?v,0
asp?uid,0
Earth#Cultural_viewpoint,0
ChatMe!ReadMe,0
Police#Why_reiterate_,0
newspapers?id,0
books?id,0
0CDYQ6AEwADgK#v,0
Incidents#User,0
okay?Im,1
bathory@bathory,0
bathory@maltedmedia,0
Deletion_Review#Colignatus,0
MEDRS#Acupuncture_source,0
jeff@fugly,0
php?title,0
Assassinations_and_murders_attributed_to_the_LTTE#Consensus_to_redirect,0
Thanks!38,0
States#Proposal,0
occupations#Occupations,0
php?title,0
php?title,0
Bob_Dylan#Discography,0
Elvis_Presley#Discography,0
The_Beatles#Discography,0
proof?Huh,0
?oh,0
29#Helping_going_away,0
Archive_5#RBIs,0
AN#VIP_alert,0
html#007191,0
Elockid#Beloki,0
DR#071828895,0
ratio#Gender,0
episodes#Season_2,0
individualist@Yahoo,0
sources#How,0
books?id,0
0CBsQ6AEwAA#v,0
php?title,0
chris@hypocrite,0
l@lists,0
newspapers?nid,0
newspapers?nid,0
newspapers?nid,0
davidthomson123@btinternet,0
guidelines#Titles,0
site?37,1
75377964@N00,0
newmusic?The,0
6e2b81f5c474172fca257cee0023c16a?OpenDocument,0
one?SimonS,0
SOCKS#Legitimate,0
search?q,0
php?title,0
User_conduct#Use_of_administrator_privileges,0
them?67,0
term?76,0
php?title,0
The_Pink_Print#Requested_move_06_August_2014,0
watch?v,0
welcome!best,0
ANI#Five,0
Thoughts?64,0
Turkey#Request_for_Comment,0
books?id,0
php?title,0
danALLMIGHT@hotmail,0
php?type,0
danlt888@verizon,0
php?option,0
staff@valleyscanner,0
watch?v,0
pdf#search,0
page?99,0
circunstances?2,0
VANDAL#NOT,0
php?title,0
asp?privcapId,0
School#Christopher,0
aspx?id,0
energy?129,0
Hoverfish#Wrong_pronunciation_of_Avatar,0
tags#Fair_use,0
sidramappa@gmail,0
b1tch?124,1
watch?v,0
cfm?fuseaction,1
P!SS,1
Shi_Ming_Yi#cite_note,0
guidelines#New,0
shtml?sourcedomain,0
php?title,0
CSD#F8,0
yet?You,0
search?q,0
php?title,0
logos#Alphabets,0
22#Trouble,0
01#Error,0
86#Wrong,0
php?title,1
conflict#War,0
Outlines#Points,0
Dbachmann#More,0
Kaiwhakahaere#You,0
Cont@ct,0
What?Who,0
it?I,0
php?title,0
redirect#How_to_make_a_redirect,0
world#s,0
search?tbm,0
htm?site,0
php?p,0
